ATM_ID,Date,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Year,Month,Day,Quarter,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Location_Type_Gas Station,Location_Type_Mall,Location_Type_Standalone,Location_Type_Supermarket,Weather_Condition_Cloudy,Weather_Condition_Rainy,Weather_Condition_Snowy
ATM_0041,2022-03-02,35141,7168,0,1,101993,0,40993,2022,3,2,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
ATM_0033,2022-09-01,42447,2246,0,0,101371,5,43593,2022,9,1,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
ATM_0037,2023-08-14,36208,17749,0,0,84334,1,25698,2023,8,14,3,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
ATM_0007,2022-04-10,45169,14067,0,0,75382,5,39961,2022,4,10,2,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
ATM_0004,2023-11-21,25887,10923,0,0,105197,0,16851,2023,11,21,4,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
ATM_0016,2022-07-16,61727,12609,0,0,105939,1,60063,2022,7,16,3,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
ATM_0018,2023-04-19,39799,11161,0,0,105861,0,25441,2023,4,19,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
ATM_0042,2023-07-08,39284,19328,0,1,109476,1,36840,2023,7,8,3,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
ATM_0027,2023-05-13,35379,13935,0,0,123171,1,24612,2023,5,13,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ATM_0025,2022-01-03,37689,14110,0,1,137935,2,28914,2022,1,3,1,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
ATM_0028,2023-12-15,36657,5920,0,0,98457,0,37577,2023,12,15,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
ATM_0038,2023-07-10,55117,10065,0,0,129070,4,49301,2023,7,10,3,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
ATM_0034,2022-06-11,59385,5714,0,0,78582,0,64265,2022,6,11,2,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
ATM_0039,2022-03-11,57237,8882,0,0,114280,4,37579,2022,3,11,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
ATM_0039,2022-02-10,57098,9635,0,0,83064,2,58773,2022,2,10,1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
ATM_0014,2023-11-17,27277,11070,0,0,75085,5,22648,2023,11,17,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
ATM_0042,2022-11-04,36742,10768,0,1,101164,0,39915,2022,11,4,4,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
ATM_0030,2023-09-29,32855,15415,0,0,121076,1,21038,2023,9,29,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
ATM_0023,2022-03-12,57725,12568,0,0,110300,4,54244,2022,3,12,1,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
ATM_0046,2022-11-06,107790,14770,0,0,113027,1,114724,2022,11,6,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
ATM_0017,2022-04-29,38407,8815,0,0,90292,4,31079,2022,4,29,2,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
ATM_0014,2022-12-18,51228,13431,0,0,67745,0,34641,2022,12,18,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
ATM_0006,2023-10-12,42921,15444,0,0,101285,1,38167,2023,10,12,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
ATM_0041,2022-09-26,33833,6348,0,0,104329,4,22905,2022,9,26,3,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
ATM_0001,2022-04-25,82159,13169,0,0,59497,4,83492,2022,4,25,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
ATM_0036,2022-06-01,52796,6037,0,0,97705,0,36847,2022,6,1,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
ATM_0023,2022-08-04,57574,14328,0,0,75994,4,40705,2022,8,4,3,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
ATM_0048,2022-06-08,44982,18827,0,1,108099,3,42815,2022,6,8,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
ATM_0002,2022-07-03,81832,15162,0,0,69612,2,63791,2022,7,3,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
ATM_0011,2023-12-20,42736,12219,0,0,115492,1,35587,2023,12,20,4,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
ATM_0013,2023-04-17,1380,4878,0,0,94948,1,0,2023,4,17,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
ATM_0002,2023-11-07,31283,7799,0,0,102614,2,23373,2023,11,7,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
ATM_0023,2023-10-19,67447,10051,0,0,80369,0,47607,2023,10,19,4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
ATM_0017,2022-07-02,56931,10349,0,0,92293,2,58803,2022,7,2,3,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
ATM_0047,2022-11-18,73790,3810,0,1,142660,3,91179,2022,11,18,4,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
ATM_0037,2022-07-14,20718,11404,0,0,87546,4,9643,2022,7,14,3,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
ATM_0035,2023-12-05,41159,14248,0,0,107140,4,29906,2023,12,5,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
ATM_0021,2023-11-11,39606,14064,0,0,112592,2,27873,2023,11,11,4,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
ATM_0026,2023-12-15,61209,13051,0,0,99581,5,46483,2023,12,15,4,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
ATM_0025,2023-11-25,51759,12735,0,0,95956,4,50080,2023,11,25,4,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
ATM_0001,2022-11-08,62381,14067,0,0,126109,3,44558,2022,11,8,4,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
ATM_0029,2023-03-29,50315,11620,0,0,97397,5,50242,2023,3,29,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
ATM_0006,2022-10-18,37726,20461,0,0,79879,5,22401,2022,10,18,4,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
ATM_0020,2022-08-19,31787,13120,0,0,112566,3,16785,2022,8,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ATM_0040,2022-03-16,51137,6614,0,0,119502,5,44393,2022,3,16,1,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
ATM_0045,2023-01-29,47794,12064,0,0,88725,0,43412,2023,1,29,1,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
ATM_0050,2023-03-12,53674,7465,0,0,90579,0,37345,2023,3,12,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ATM_0036,2022-09-13,53480,2759,0,0,71850,5,57485,2022,9,13,3,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
ATM_0034,2023-07-27,39223,8932,0,0,106218,4,29520,2023,7,27,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
ATM_0029,2022-06-12,72130,9904,0,0,79949,5,50758,2022,6,12,2,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
ATM_0018,2023-06-18,54840,5863,0,0,110386,5,60947,2023,6,18,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
ATM_0019,2022-08-29,72991,13450,0,0,91975,1,51718,2022,8,29,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
ATM_0010,2022-08-25,53361,10062,0,0,101953,3,55715,2022,8,25,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
ATM_0027,2022-12-05,38404,17255,0,0,119185,3,23663,2022,12,5,4,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
ATM_0050,2023-08-22,63084,10916,0,0,143796,2,50981,2023,8,22,3,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
ATM_0020,2023-02-04,37875,0,0,0,89484,3,39142,2023,2,4,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
ATM_0015,2022-10-07,55126,19380,0,0,119008,5,47933,2022,10,7,4,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
ATM_0044,2023-02-19,41346,3398,0,1,136629,3,52332,2023,2,19,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
ATM_0038,2023-08-01,67691,7654,0,0,65737,3,73364,2023,8,1,3,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
ATM_0012,2022-02-21,70308,9427,0,0,124756,2,61910,2022,2,21,1,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
ATM_0022,2023-01-24,50078,10234,1,0,90998,3,48309,2023,1,24,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
ATM_0002,2023-07-07,59342,10601,0,0,110288,5,44039,2023,7,7,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ATM_0003,2022-02-01,26988,16388,0,0,106646,1,12684,2022,2,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
ATM_0009,2023-04-30,38772,15896,0,1,101350,5,34170,2023,4,30,2,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
ATM_0017,2023-01-13,46265,14857,0,0,112907,1,41031,2023,1,13,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ATM_0020,2022-04-21,70529,15292,0,0,64825,3,56498,2022,4,21,2,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
ATM_0046,2022-07-23,45958,13587,0,0,130047,0,33036,2022,7,23,3,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
ATM_0045,2022-11-05,51111,1483,0,0,98889,4,48807,2022,11,5,4,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
ATM_0028,2023-11-09,18988,9554,0,0,73910,0,10373,2023,11,9,4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
ATM_0027,2023-05-17,60045,11832,0,1,81202,5,51443,2023,5,17,2,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
ATM_0010,2023-03-22,49059,14775,0,1,80285,4,42331,2023,3,22,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
ATM_0035,2023-05-11,57560,7348,0,0,84142,2,46123,2023,5,11,2,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True
ATM_0016,2022-03-30,48394,4823,0,0,88927,4,44383,2022,3,30,1,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
ATM_0040,2023-11-16,32031,6501,0,0,104279,1,30573,2023,11,16,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
ATM_0032,2022-08-06,48315,8895,0,0,112283,4,36839,2022,8,6,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
ATM_0001,2023-06-14,61362,8624,0,0,53961,3,58361,2023,6,14,2,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
ATM_0036,2022-09-04,74674,8754,0,0,111531,0,68316,2022,9,4,3,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
ATM_0019,2022-08-15,54668,9360,0,0,80889,3,49566,2022,8,15,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
ATM_0036,2023-06-28,38654,2888,0,1,87068,2,37044,2023,6,28,2,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
ATM_0045,2023-04-10,33776,18435,0,0,117632,5,23870,2023,4,10,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
ATM_0013,2022-11-20,51160,5693,0,1,130462,1,53551,2022,11,20,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
ATM_0014,2023-05-11,58083,5621,0,1,72344,0,64058,2023,5,11,2,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
ATM_0013,2022-10-31,29021,12814,0,0,86987,5,17148,2022,10,31,4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ATM_0035,2022-05-10,42693,10242,0,1,83380,5,38011,2022,5,10,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
ATM_0009,2023-10-16,46415,5462,0,0,88464,3,35747,2023,10,16,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
ATM_0031,2023-03-28,61330,10496,0,1,115027,3,63369,2023,3,28,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
ATM_0008,2022-03-08,40060,12852,0,0,84734,1,32198,2022,3,8,1,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
ATM_0010,2023-07-31,22926,11298,0,1,81913,4,19055,2023,7,31,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
ATM_0049,2023-03-03,49008,3944,0,0,86963,2,43567,2023,3,3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
ATM_0038,2023-03-16,50710,15031,0,0,88462,1,33095,2023,3,16,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
ATM_0041,2022-08-05,57947,17207,0,0,50567,4,37843,2022,8,5,3,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
ATM_0005,2022-06-10,38046,11855,0,0,87920,2,37715,2022,6,10,2,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
ATM_0003,2022-08-26,51298,9221,0,0,123355,0,35629,2022,8,26,3,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
ATM_0044,2022-08-28,53816,7561,0,0,91348,3,39728,2022,8,28,3,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
ATM_0008,2023-07-12,54346,20377,0,1,117422,0,40499,2023,7,12,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
ATM_0004,2022-06-19,45109,0,0,0,79838,3,44435,2022,6,19,2,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
ATM_0008,2023-04-25,50276,18382,0,1,106538,3,40754,2023,4,25,2,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
ATM_0006,2023-09-05,46713,11178,0,0,115417,0,28712,2023,9,5,3,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
ATM_0006,2022-08-23,27821,15718,0,0,106769,3,17105,2022,8,23,3,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
ATM_0034,2023-10-30,43770,10909,0,0,104964,5,30516,2023,10,30,4,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
ATM_0032,2022-04-04,62455,5719,0,0,101431,5,63645,2022,4,4,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
ATM_0007,2022-06-14,42835,15187,0,0,89799,5,22142,2022,6,14,2,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
ATM_0026,2023-07-18,45951,5106,0,0,91114,2,36577,2023,7,18,3,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
ATM_0008,2023-02-18,55659,14348,0,0,127112,1,48909,2023,2,18,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
ATM_0034,2023-01-06,38393,3776,0,0,64425,2,34133,2023,1,6,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
ATM_0036,2022-05-15,72440,11399,0,0,77490,0,63426,2022,5,15,2,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
ATM_0002,2023-10-08,51640,13628,0,0,109620,4,48067,2023,10,8,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ATM_0027,2022-04-06,53358,19410,0,0,126908,5,34886,2022,4,6,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
ATM_0010,2023-05-26,35155,9371,0,0,101114,3,29883,2023,5,26,2,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
ATM_0031,2022-09-07,66412,9209,0,0,91462,4,69831,2022,9,7,3,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
ATM_0033,2022-05-20,34818,1725,0,0,116463,2,31516,2022,5,20,2,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
ATM_0033,2022-10-01,51099,8321,0,0,133380,1,39427,2022,10,1,4,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
ATM_0029,2023-07-06,46313,8636,0,0,46062,3,48115,2023,7,6,3,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
ATM_0021,2022-07-13,49185,19244,0,0,122531,0,23599,2022,7,13,3,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
ATM_0021,2023-04-30,45966,4467,0,1,151467,3,41097,2023,4,30,2,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
ATM_0003,2022-05-10,50888,10990,0,0,97112,0,38343,2022,5,10,2,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
ATM_0034,2023-04-13,49508,7282,0,0,85743,0,49672,2023,4,13,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
ATM_0031,2022-09-29,51596,0,0,0,121830,2,49547,2022,9,29,3,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
ATM_0044,2023-07-01,44859,8142,0,0,71849,4,41707,2023,7,1,3,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False
ATM_0003,2023-09-25,38332,14678,0,0,125431,1,22113,2023,9,25,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
ATM_0048,2022-04-03,60825,4354,0,0,89509,3,61845,2022,4,3,2,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
ATM_0011,2023-12-12,57340,8798,0,0,92503,2,54274,2023,12,12,4,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
ATM_0023,2023-01-19,44585,15796,0,0,78378,4,25918,2023,1,19,1,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
ATM_0044,2022-07-04,59239,11630,0,0,74977,4,46371,2022,7,4,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ATM_0044,2022-09-04,42159,15245,0,0,85913,5,34015,2022,9,4,3,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
ATM_0017,2023-04-16,28873,3597,0,0,135095,2,26891,2023,4,16,2,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
ATM_0044,2023-07-14,53165,9516,0,0,89101,4,53923,2023,7,14,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
ATM_0020,2023-10-17,55987,10571,0,0,103006,1,48907,2023,10,17,4,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
ATM_0025,2023-05-10,54617,1449,0,0,73036,4,45408,2023,5,10,2,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
ATM_0019,2023-12-18,61148,10092,0,1,106951,2,53697,2023,12,18,4,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
ATM_0001,2023-08-03,52937,5108,0,0,108165,1,51470,2023,8,3,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
ATM_0039,2022-12-27,24461,11280,0,0,119653,5,16053,2022,12,27,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
ATM_0007,2023-10-05,22386,3602,0,0,87503,4,16267,2023,10,5,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
ATM_0024,2022-05-15,50391,10933,0,0,84892,1,37663,2022,5,15,2,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
ATM_0013,2022-05-16,36151,3241,0,0,80482,1,34719,2022,5,16,2,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
ATM_0017,2023-05-09,65804,12466,0,0,103696,0,64352,2023,5,9,2,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
ATM_0010,2022-08-20,41365,10610,0,0,151201,0,29227,2022,8,20,3,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
ATM_0017,2023-07-04,48559,9825,0,0,135416,4,45169,2023,7,4,3,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
ATM_0025,2023-10-16,60616,7187,0,0,112648,0,49376,2023,10,16,4,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
ATM_0040,2023-07-29,64588,6364,0,0,95049,5,71752,2023,7,29,3,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
ATM_0030,2023-12-19,48883,13103,0,0,103554,0,44826,2023,12,19,4,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
ATM_0020,2023-05-20,29969,12798,0,0,121615,3,20440,2023,5,20,2,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
ATM_0030,2023-01-15,48947,1695,0,0,108592,3,41364,2023,1,15,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
ATM_0042,2022-04-12,53115,4594,0,0,121063,0,57604,2022,4,12,2,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
ATM_0045,2023-01-15,49406,13407,0,0,100566,2,33570,2023,1,15,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
ATM_0007,2023-12-04,50446,10480,0,1,90754,0,46126,2023,12,4,4,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
ATM_0026,2022-10-10,53332,7606,0,1,125115,0,46057,2022,10,10,4,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
ATM_0043,2022-08-06,36580,17234,0,0,103931,1,19917,2022,8,6,3,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
ATM_0037,2022-07-30,54005,14448,0,0,101645,1,50495,2022,7,30,3,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
ATM_0022,2022-06-01,65982,7413,0,0,128186,1,59418,2022,6,1,2,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
ATM_0035,2022-09-14,43317,17266,0,0,131591,1,29204,2022,9,14,3,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
ATM_0001,2023-01-02,42157,3277,0,0,81626,2,36700,2023,1,2,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
ATM_0004,2022-05-10,49479,11171,0,0,131010,3,33011,2022,5,10,2,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
ATM_0029,2023-01-06,35024,14921,0,0,95720,5,30306,2023,1,6,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
ATM_0043,2023-06-18,33159,11912,0,0,103329,0,25578,2023,6,18,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
