ATM_ID,Predicted_Demand,Current_Cash_Level,Required_Cash,Recommended_Refill,Risk_Level,Priority_Rank
ATM_0037,23235.0,65875,26720.0,0.0,Low Risk,3952.5
ATM_0007,35080.0,44280,40342.0,0.0,Low Risk,3952.5
ATM_0004,17622.0,90233,20265.0,0.0,Low Risk,3952.5
ATM_0016,52512.0,56821,60389.0,3568.0,Low Risk,2049.0
ATM_0018,31531.0,77223,36260.0,0.0,Low Risk,3952.5
ATM_0042,32545.0,89520,42309.0,0.0,Low Risk,3952.5
ATM_0027,24582.0,101727,28269.0,0.0,Low Risk,3952.5
ATM_0025,34750.0,114356,45175.0,0.0,Low Risk,3952.5
ATM_0028,32446.0,67720,37313.0,0.0,Low Risk,3952.5
ATM_0038,47495.0,84018,54619.0,0.0,Low Risk,3952.5
ATM_0034,55123.0,24911,63391.0,38480.0,Medium Risk,600.0
ATM_0039,50468.0,65925,58038.0,0.0,Low Risk,3952.5
ATM_0039,49416.0,35601,56828.0,21227.0,Medium Risk,1200.0
ATM_0014,19064.0,58878,21924.0,0.0,Low Risk,3952.5
ATM_0042,36105.0,75190,46936.0,0.0,Low Risk,3952.5
ATM_0030,21415.0,103636,24627.0,0.0,Low Risk,3952.5
ATM_0023,48628.0,65143,55923.0,0.0,Low Risk,3952.5
ATM_0046,96681.0,20007,111183.0,91176.0,High Risk,13.0
ATM_0017,31219.0,60700,35902.0,0.0,Low Risk,3952.5
ATM_0014,41856.0,29948,48134.0,18186.0,Low Risk,1314.0
ATM_0006,31422.0,73808,36135.0,0.0,Low Risk,3952.5
ATM_0041,28822.0,76844,33145.0,0.0,Low Risk,3952.5
ATM_0001,72371.0,0,83227.0,83227.0,High Risk,30.0
ATM_0036,48703.0,50946,56008.0,5062.0,Low Risk,1971.0
ATM_0023,47553.0,32748,54685.0,21937.0,Medium Risk,1177.0
ATM_0048,38256.0,81944,49733.0,0.0,Low Risk,3952.5
ATM_0002,71168.0,2942,81843.0,78901.0,High Risk,53.0
ATM_0011,33081.0,84975,38043.0,0.0,Low Risk,3952.5
ATM_0013,-2190.0,98446,-2518.0,0.0,Low Risk,3952.5
ATM_0002,24596.0,79130,28286.0,0.0,Low Risk,3952.5
ATM_0023,59505.0,22973,68431.0,45458.0,Medium Risk,454.0
ATM_0017,50379.0,45711,57936.0,12225.0,Low Risk,1625.0
ATM_0047,77879.0,72680,101243.0,28563.0,Medium Risk,917.0
ATM_0037,12087.0,78232,13901.0,0.0,Low Risk,3952.5
ATM_0035,30397.0,80229,34957.0,0.0,Low Risk,3952.5
ATM_0021,29059.0,87050,33418.0,0.0,Low Risk,3952.5
ATM_0026,51631.0,51423,59376.0,7953.0,Low Risk,1842.0
ATM_0025,42157.0,56932,48481.0,0.0,Low Risk,3952.5
ATM_0001,51900.0,77795,59686.0,0.0,Low Risk,3952.5
ATM_0029,41145.0,58702,47316.0,0.0,Low Risk,3952.5
ATM_0006,22722.0,62614,26130.0,0.0,Low Risk,3952.5
ATM_0020,21874.0,93899,25156.0,0.0,Low Risk,3952.5
ATM_0040,45786.0,74979,52654.0,0.0,Low Risk,3952.5
ATM_0045,38317.0,52995,44064.0,0.0,Low Risk,3952.5
ATM_0050,48599.0,44370,55889.0,11519.0,Low Risk,1660.0
ATM_0036,50822.0,21129,58446.0,37317.0,Medium Risk,625.0
ATM_0034,32040.0,75927,36846.0,0.0,Low Risk,3952.5
ATM_0029,64919.0,17723,74656.0,56933.0,High Risk,264.0
ATM_0018,50117.0,61409,57634.0,0.0,Low Risk,3952.5
ATM_0019,63051.0,32434,72508.0,40074.0,Medium Risk,567.0
ATM_0010,45182.0,58654,51959.0,0.0,Low Risk,3952.5
ATM_0027,25543.0,98036,29374.0,0.0,Low Risk,3952.5
ATM_0050,53651.0,91628,61699.0,0.0,Low Risk,3952.5
ATM_0020,37898.0,51609,43582.0,0.0,Low Risk,3952.5
ATM_0015,40571.0,83262,46657.0,0.0,Low Risk,3952.5
ATM_0044,45435.0,98681,59065.0,0.0,Low Risk,3952.5
ATM_0038,62346.0,5700,71698.0,65998.0,High Risk,146.0
ATM_0012,63402.0,63875,72912.0,9037.0,Low Risk,1782.0
ATM_0022,47021.0,51154,58776.0,7622.0,Low Risk,1852.0
ATM_0002,50893.0,61547,58527.0,0.0,Low Risk,3952.5
ATM_0003,14526.0,96046,16705.0,0.0,Low Risk,3952.5
ATM_0009,33631.0,78474,43720.0,0.0,Low Risk,3952.5
ATM_0017,34674.0,81499,39875.0,0.0,Low Risk,3952.5
ATM_0020,58969.0,9588,67814.0,58226.0,High Risk,240.0
ATM_0046,35347.0,97676,40649.0,0.0,Low Risk,3952.5
ATM_0045,49833.0,49261,57308.0,8047.0,Low Risk,1835.0
ATM_0028,12496.0,64476,14370.0,0.0,Low Risk,3952.5
ATM_0027,58066.0,32989,75486.0,42497.0,Medium Risk,515.0
ATM_0010,45123.0,46001,58660.0,12659.0,Low Risk,1605.5
ATM_0035,51906.0,33930,59692.0,25762.0,Medium Risk,1010.5
ATM_0016,44582.0,45356,51270.0,5914.0,Low Risk,1930.0
ATM_0040,27106.0,78749,31172.0,0.0,Low Risk,3952.5
ATM_0032,42093.0,72863,48407.0,0.0,Low Risk,3952.5
ATM_0001,55786.0,1223,64154.0,62931.0,High Risk,185.0
ATM_0036,68189.0,45611,78418.0,32807.0,Medium Risk,788.0
ATM_0019,48004.0,35581,55205.0,19624.0,Low Risk,1257.0
ATM_0036,43647.0,51302,56741.0,5439.0,Low Risk,1949.0
ATM_0045,19673.0,102291,22624.0,0.0,Low Risk,3952.5
ATM_0013,53958.0,84995,70146.0,0.0,Low Risk,3952.5
ATM_0014,61405.0,19882,79826.0,59944.0,High Risk,222.0
ATM_0013,18916.0,70780,21753.0,0.0,Low Risk,3952.5
ATM_0035,42829.0,50929,55678.0,4749.0,Low Risk,1992.0
ATM_0009,43080.0,47511,49542.0,2031.0,Low Risk,2125.0
ATM_0031,60573.0,64193,78745.0,14552.0,Low Risk,1506.0
ATM_0008,29761.0,57526,34225.0,0.0,Low Risk,3952.5
ATM_0010,21844.0,70285,28397.0,0.0,Low Risk,3952.5
ATM_0049,46307.0,41899,53253.0,11354.0,Low Risk,1672.0
ATM_0038,38945.0,52783,44786.0,0.0,Low Risk,3952.5
ATM_0041,46203.0,9827,53134.0,43307.0,Medium Risk,494.0
ATM_0005,28929.0,61729,33268.0,0.0,Low Risk,3952.5
ATM_0003,44801.0,81278,51521.0,0.0,Low Risk,3952.5
ATM_0044,48280.0,45093,55523.0,10430.0,Low Risk,1713.0
ATM_0008,46549.0,83453,60513.0,0.0,Low Risk,3952.5
ATM_0004,45372.0,34729,52178.0,17449.0,Low Risk,1352.0
ATM_0008,43430.0,74644,56459.0,0.0,Low Risk,3952.5
ATM_0006,37791.0,79882,43459.0,0.0,Low Risk,3952.5
ATM_0006,15324.0,94666,17623.0,0.0,Low Risk,3952.5
ATM_0034,35608.0,72103,40949.0,0.0,Low Risk,3952.5
ATM_0032,58589.0,44695,67377.0,22682.0,Medium Risk,1148.0
ATM_0007,31100.0,62151,35765.0,0.0,Low Risk,3952.5
ATM_0026,41385.0,50269,47593.0,0.0,Low Risk,3952.5
ATM_0008,44097.0,85801,50712.0,0.0,Low Risk,3952.5
ATM_0034,35632.0,29808,40977.0,11169.0,Low Risk,1683.0
ATM_0036,64536.0,16449,74217.0,57768.0,High Risk,248.0
ATM_0002,41255.0,71608,47443.0,0.0,Low Risk,3952.5
ATM_0027,38865.0,92960,44695.0,0.0,Low Risk,3952.5
ATM_0010,28050.0,75330,32257.0,0.0,Low Risk,3952.5
ATM_0031,59608.0,34259,68549.0,34290.0,Medium Risk,725.0
ATM_0033,33335.0,83370,38335.0,0.0,Low Risk,3952.5
ATM_0033,45048.0,90602,51805.0,0.0,Low Risk,3952.5
ATM_0029,40154.0,8385,46177.0,37792.0,Medium Risk,615.0
ATM_0021,34796.0,92590,40016.0,0.0,Low Risk,3952.5
ATM_0021,49520.0,109968,64376.0,0.0,Low Risk,3952.5
ATM_0003,43412.0,57214,49924.0,0.0,Low Risk,3952.5
ATM_0034,43725.0,43517,50284.0,6767.0,Low Risk,1887.0
ATM_0031,50839.0,70234,58464.0,0.0,Low Risk,3952.5
ATM_0044,39277.0,35132,45169.0,10037.0,Low Risk,1741.0
ATM_0003,26999.0,101777,31049.0,0.0,Low Risk,3952.5
ATM_0048,58193.0,33038,66923.0,33885.0,Medium Risk,750.0
ATM_0011,50973.0,43961,58619.0,14658.0,Low Risk,1500.0
ATM_0023,32561.0,49589,37445.0,0.0,Low Risk,3952.5
ATM_0044,51027.0,27368,58681.0,31313.0,Medium Risk,827.0
ATM_0044,30989.0,58999,35638.0,0.0,Low Risk,3952.5
ATM_0017,26862.0,109819,30891.0,0.0,Low Risk,3952.5
ATM_0044,46746.0,45452,53758.0,8306.0,Low Risk,1820.0
ATM_0020,48099.0,57590,55314.0,0.0,Low Risk,3952.5
ATM_0025,53366.0,19868,61371.0,41503.0,Medium Risk,538.0
ATM_0019,61939.0,55895,80521.0,24626.0,Medium Risk,1050.0
ATM_0001,48720.0,60336,56028.0,0.0,Low Risk,3952.5
ATM_0039,15322.0,106472,17620.0,0.0,Low Risk,3952.5
ATM_0007,18809.0,68719,21630.0,0.0,Low Risk,3952.5
ATM_0024,42459.0,45434,48828.0,3394.0,Low Risk,2059.0
ATM_0013,33969.0,47572,39065.0,0.0,Low Risk,3952.5
ATM_0017,56838.0,50358,65364.0,15006.0,Low Risk,1463.0
ATM_0010,33354.0,120446,38357.0,0.0,Low Risk,3952.5
ATM_0017,40365.0,96682,46420.0,0.0,Low Risk,3952.5
ATM_0025,56304.0,59219,64750.0,5531.0,Low Risk,1945.0
ATM_0040,59359.0,36825,68263.0,31438.0,Medium Risk,824.0
ATM_0030,38448.0,67774,44215.0,0.0,Low Risk,3952.5
ATM_0020,20398.0,104444,23458.0,0.0,Low Risk,3952.5
ATM_0030,47642.0,61340,54788.0,0.0,Low Risk,3952.5
ATM_0042,49456.0,72542,56874.0,0.0,Low Risk,3952.5
ATM_0045,39334.0,64567,45234.0,0.0,Low Risk,3952.5
ATM_0007,50470.0,50788,65611.0,14823.0,Low Risk,1483.0
ATM_0026,55932.0,79389,72711.0,0.0,Low Risk,3952.5
ATM_0043,24139.0,84585,27760.0,0.0,Low Risk,3952.5
ATM_0037,42785.0,62088,49203.0,0.0,Low Risk,3952.5
ATM_0022,60486.0,69617,69558.0,0.0,Low Risk,3952.5
ATM_0035,30496.0,105540,35070.0,0.0,Low Risk,3952.5
ATM_0001,39843.0,42746,45819.0,3073.0,Low Risk,2068.0
ATM_0004,40265.0,92702,46305.0,0.0,Low Risk,3952.5
ATM_0029,22872.0,75617,26302.0,0.0,Low Risk,3952.5
ATM_0043,23933.0,82082,27523.0,0.0,Low Risk,3952.5
ATM_0031,52928.0,38805,60867.0,22062.0,Medium Risk,1173.0
ATM_0006,28947.0,103916,33289.0,0.0,Low Risk,3952.5
ATM_0039,35883.0,78458,41265.0,0.0,Low Risk,3952.5
ATM_0045,58641.0,33511,67437.0,33926.0,Medium Risk,742.0
ATM_0022,35560.0,73934,40894.0,0.0,Low Risk,3952.5
ATM_0021,50951.0,31076,66236.0,35160.0,Medium Risk,688.0
ATM_0006,32575.0,72850,37462.0,0.0,Low Risk,3952.5
ATM_0036,83332.0,9653,95831.0,86178.0,High Risk,22.0
ATM_0004,56545.0,40071,65026.0,24955.0,Medium Risk,1038.0
ATM_0043,53448.0,71562,61465.0,0.0,Low Risk,3952.5
ATM_0049,59999.0,44559,68999.0,24440.0,Medium Risk,1062.0
ATM_0043,50139.0,53077,57660.0,4583.0,Low Risk,1997.0
ATM_0023,61528.0,42707,70758.0,28051.0,Medium Risk,930.0
ATM_0010,44437.0,54978,51102.0,0.0,Low Risk,3952.5
ATM_0027,46442.0,61816,53409.0,0.0,Low Risk,3952.5
ATM_0039,34103.0,89139,39219.0,0.0,Low Risk,3952.5
ATM_0006,22511.0,50909,25888.0,0.0,Low Risk,3952.5
ATM_0018,32107.0,101580,36923.0,0.0,Low Risk,3952.5
ATM_0044,46295.0,9769,53239.0,43470.0,Medium Risk,489.0
ATM_0026,24828.0,83736,28552.0,0.0,Low Risk,3952.5
ATM_0049,31926.0,69729,36715.0,0.0,Low Risk,3952.5
ATM_0028,21632.0,78511,24877.0,0.0,Low Risk,3952.5
ATM_0036,50848.0,78967,58475.0,0.0,Low Risk,3952.5
ATM_0002,45856.0,68538,52735.0,0.0,Low Risk,3952.5
ATM_0041,49520.0,68447,56948.0,0.0,Low Risk,3952.5
ATM_0040,25996.0,78346,29895.0,0.0,Low Risk,3952.5
ATM_0028,17673.0,72612,20324.0,0.0,Low Risk,3952.5
ATM_0022,43150.0,25106,49623.0,24517.0,Medium Risk,1057.0
ATM_0033,58079.0,42804,66791.0,23987.0,Medium Risk,1085.0
ATM_0007,46667.0,84330,53667.0,0.0,Low Risk,3952.5
ATM_0005,55245.0,7046,63532.0,56486.0,High Risk,270.0
ATM_0037,28180.0,109572,32407.0,0.0,Low Risk,3952.5
ATM_0029,47325.0,75876,54424.0,0.0,Low Risk,3952.5
ATM_0005,45883.0,69835,52766.0,0.0,Low Risk,3952.5
ATM_0005,44224.0,48640,50858.0,2218.0,Low Risk,2113.0
ATM_0038,68379.0,82732,88892.0,6160.0,Low Risk,1917.0
ATM_0039,35169.0,57402,40445.0,0.0,Low Risk,3952.5
ATM_0006,53155.0,48801,61128.0,12327.0,Low Risk,1620.0
ATM_0034,74542.0,30456,85723.0,55267.0,High Risk,286.0
ATM_0027,44009.0,63502,50610.0,0.0,Low Risk,3952.5
ATM_0044,62249.0,14876,77812.0,62936.0,High Risk,184.0
ATM_0006,42284.0,95547,48626.0,0.0,Low Risk,3952.5
ATM_0039,35954.0,83693,41347.0,0.0,Low Risk,3952.5
ATM_0043,58576.0,32240,67362.0,35122.0,Medium Risk,693.0
ATM_0020,58542.0,37878,76105.0,38227.0,Medium Risk,605.0
ATM_0015,37836.0,77119,43511.0,0.0,Low Risk,3952.5
ATM_0050,32665.0,36508,37565.0,1057.0,Low Risk,2185.0
ATM_0025,18407.0,75870,21168.0,0.0,Low Risk,3952.5
ATM_0029,47813.0,29527,54985.0,25458.0,Medium Risk,1018.0
ATM_0040,20529.0,111223,23608.0,0.0,Low Risk,3952.5
ATM_0013,56016.0,87172,64418.0,0.0,Low Risk,3952.5
ATM_0034,57541.0,40558,66172.0,25614.0,Medium Risk,1015.0
ATM_0004,36202.0,67622,41632.0,0.0,Low Risk,3952.5
ATM_0034,54901.0,50179,63137.0,12958.0,Low Risk,1594.0
ATM_0033,16334.0,101484,21235.0,0.0,Low Risk,3952.5
ATM_0023,75123.0,50140,86391.0,36251.0,Medium Risk,665.0
ATM_0025,28606.0,110760,32896.0,0.0,Low Risk,3952.5
ATM_0042,54031.0,52435,62136.0,9701.0,Low Risk,1756.0
ATM_0009,52351.0,76544,65438.0,0.0,Low Risk,3952.5
ATM_0017,62007.0,62127,80609.0,18482.0,Low Risk,1303.0
ATM_0050,24429.0,63573,28094.0,0.0,Low Risk,3952.5
ATM_0041,40832.0,69033,46957.0,0.0,Low Risk,3952.5
ATM_0035,49353.0,71732,56756.0,0.0,Low Risk,3952.5
ATM_0023,48892.0,48592,56226.0,7634.0,Low Risk,1851.0
ATM_0024,63055.0,38810,72513.0,33703.0,Medium Risk,760.0
ATM_0025,70059.0,12020,80568.0,68548.0,High Risk,120.0
ATM_0016,3694.0,120707,4248.0,0.0,Low Risk,3952.5
ATM_0003,58561.0,0,67345.0,67345.0,High Risk,128.0
ATM_0031,82913.0,0,95350.0,95350.0,High Risk,9.0
ATM_0019,60670.0,53950,69770.0,15820.0,Low Risk,1425.0
ATM_0033,52901.0,56616,60836.0,4220.0,Low Risk,2014.0
ATM_0023,32658.0,36046,37556.0,1510.0,Low Risk,2158.0
ATM_0026,47652.0,90215,61948.0,0.0,Low Risk,3952.5
ATM_0032,24173.0,59898,27799.0,0.0,Low Risk,3952.5
ATM_0039,39306.0,37215,45202.0,7987.0,Low Risk,1840.0
ATM_0019,16488.0,85704,18961.0,0.0,Low Risk,3952.5
ATM_0029,51050.0,43750,58707.0,14957.0,Low Risk,1468.0
ATM_0028,43838.0,45430,50414.0,4984.0,Low Risk,1973.5
ATM_0033,38003.0,49865,43703.0,0.0,Low Risk,3952.5
ATM_0009,32959.0,57193,37903.0,0.0,Low Risk,3952.5
ATM_0010,50826.0,56074,58450.0,2376.0,Low Risk,2105.5
ATM_0009,39849.0,63006,45826.0,0.0,Low Risk,3952.5
ATM_0008,41560.0,32021,47794.0,15773.0,Low Risk,1428.0
ATM_0050,31472.0,113805,40913.0,0.0,Low Risk,3952.5
ATM_0032,31876.0,103715,36657.0,0.0,Low Risk,3952.5
ATM_0046,37153.0,50666,42727.0,0.0,Low Risk,3952.5
ATM_0035,23126.0,48410,26595.0,0.0,Low Risk,3952.5
ATM_0033,10372.0,116330,11928.0,0.0,Low Risk,3952.5
ATM_0002,17672.0,94887,20322.0,0.0,Low Risk,3952.5
ATM_0006,57987.0,62781,75384.0,12603.0,Low Risk,1610.0
ATM_0027,35667.0,55175,46367.0,0.0,Low Risk,3952.5
ATM_0030,56645.0,24829,65142.0,40313.0,Medium Risk,560.0
ATM_0028,33075.0,73646,38037.0,0.0,Low Risk,3952.5
ATM_0011,54334.0,58244,70634.0,12390.0,Low Risk,1618.0
ATM_0017,42701.0,31733,49106.0,17373.0,Low Risk,1356.0
ATM_0042,12883.0,68015,14816.0,0.0,Low Risk,3952.5
ATM_0003,17457.0,109032,22694.0,0.0,Low Risk,3952.5
ATM_0014,43953.0,76659,50546.0,0.0,Low Risk,3952.5
ATM_0035,40680.0,80854,46782.0,0.0,Low Risk,3952.5
ATM_0030,53720.0,48023,61778.0,13755.0,Low Risk,1553.0
ATM_0014,42332.0,76366,48682.0,0.0,Low Risk,3952.5
ATM_0023,47527.0,31982,54656.0,22674.0,Medium Risk,1149.0
ATM_0016,37642.0,75455,43289.0,0.0,Low Risk,3952.5
ATM_0004,50542.0,30368,58124.0,27756.0,Medium Risk,941.0
ATM_0037,34439.0,94190,39604.0,0.0,Low Risk,3952.5
ATM_0020,41110.0,73628,53443.0,0.0,Low Risk,3952.5
ATM_0014,40514.0,55939,46592.0,0.0,Low Risk,3952.5
ATM_0042,44703.0,66345,51409.0,0.0,Low Risk,3952.5
ATM_0009,67950.0,50827,78143.0,27316.0,Medium Risk,962.0
ATM_0037,22511.0,55977,25888.0,0.0,Low Risk,3952.5
ATM_0033,17507.0,32326,20133.0,0.0,Low Risk,3952.5
ATM_0007,33319.0,40574,38317.0,0.0,Low Risk,3952.5
ATM_0013,45059.0,68758,51817.0,0.0,Low Risk,3952.5
ATM_0046,61060.0,40712,70219.0,29507.0,Medium Risk,879.0
ATM_0040,36001.0,107369,46801.0,0.0,Low Risk,3952.5
ATM_0022,65414.0,23504,75226.0,51722.0,High Risk,343.0
ATM_0022,54421.0,38032,62584.0,24552.0,Medium Risk,1054.0
ATM_0031,77480.0,39453,89102.0,49649.0,Medium Risk,372.0
ATM_0041,46990.0,40602,54038.0,13436.0,Low Risk,1565.0
ATM_0037,71897.0,23175,82681.0,59506.0,High Risk,228.0
ATM_0010,50137.0,31061,57657.0,26596.0,Medium Risk,983.0
ATM_0047,24626.0,102101,28319.0,0.0,Low Risk,3952.5
ATM_0031,57215.0,39060,74380.0,35320.0,Medium Risk,684.0
ATM_0022,38909.0,90149,44746.0,0.0,Low Risk,3952.5
ATM_0018,60668.0,66995,78869.0,11874.0,Low Risk,1645.0
ATM_0046,64213.0,50377,73845.0,23468.0,Medium Risk,1111.0
ATM_0008,62789.0,0,72207.0,72207.0,High Risk,90.0
ATM_0003,47339.0,68082,61540.0,0.0,Low Risk,3952.5
ATM_0031,55685.0,52579,64038.0,11459.0,Low Risk,1663.0
ATM_0007,47050.0,69567,54108.0,0.0,Low Risk,3952.5
ATM_0015,58373.0,31368,67129.0,35761.0,Medium Risk,673.0
ATM_0044,68040.0,47708,88452.0,40744.0,Medium Risk,550.0
ATM_0042,66471.0,2078,76441.0,74363.0,High Risk,76.0
ATM_0019,59288.0,41249,68181.0,26932.0,Medium Risk,975.0
ATM_0048,24619.0,60308,28312.0,0.0,Low Risk,3952.5
ATM_0026,65729.0,13007,75589.0,62582.0,High Risk,191.0
ATM_0037,49979.0,52953,57476.0,4523.0,Low Risk,2001.0
ATM_0033,28104.0,72596,32320.0,0.0,Low Risk,3952.5
ATM_0047,46487.0,49862,53460.0,3598.0,Low Risk,2043.5
ATM_0037,70090.0,36590,80604.0,44014.0,Medium Risk,478.0
ATM_0033,62106.0,63634,71422.0,7788.0,Low Risk,1847.0
ATM_0031,25211.0,69783,28993.0,0.0,Low Risk,3952.5
ATM_0049,37705.0,91706,43361.0,0.0,Low Risk,3952.5
ATM_0042,57136.0,29205,65706.0,36501.0,Medium Risk,658.0
ATM_0011,40569.0,82638,46655.0,0.0,Low Risk,3952.5
ATM_0040,26208.0,61820,30140.0,0.0,Low Risk,3952.5
ATM_0039,15793.0,108182,20531.0,0.0,Low Risk,3952.5
ATM_0044,20080.0,109053,23093.0,0.0,Low Risk,3952.5
ATM_0037,59439.0,71181,77270.0,6089.0,Low Risk,1923.0
ATM_0035,39935.0,64551,45926.0,0.0,Low Risk,3952.5
ATM_0044,18435.0,52301,21200.0,0.0,Low Risk,3952.5
ATM_0030,52287.0,26233,60130.0,33897.0,Medium Risk,747.0
ATM_0020,-763.0,138391,-878.0,0.0,Low Risk,3952.5
ATM_0005,31573.0,51409,36309.0,0.0,Low Risk,3952.5
ATM_0031,47407.0,50899,54518.0,3619.0,Low Risk,2040.0
ATM_0047,44848.0,83505,58303.0,0.0,Low Risk,3952.5
ATM_0025,30223.0,56996,34757.0,0.0,Low Risk,3952.5
ATM_0012,2622.0,115520,3016.0,0.0,Low Risk,3952.5
ATM_0049,43409.0,74872,54261.0,0.0,Low Risk,3952.5
ATM_0025,20668.0,96678,23769.0,0.0,Low Risk,3952.5
ATM_0047,20589.0,80434,23677.0,0.0,Low Risk,3952.5
ATM_0014,33524.0,70978,38553.0,0.0,Low Risk,3952.5
ATM_0048,57884.0,58777,66566.0,7789.0,Low Risk,1846.0
ATM_0009,29671.0,51401,34122.0,0.0,Low Risk,3952.5
ATM_0039,-3203.0,124081,-3683.0,0.0,Low Risk,3952.5
ATM_0034,44343.0,61415,50995.0,0.0,Low Risk,3952.5
ATM_0044,41667.0,51707,54168.0,2461.0,Low Risk,2101.0
ATM_0021,38392.0,72744,44150.0,0.0,Low Risk,3952.5
ATM_0049,39974.0,31062,45971.0,14909.0,Low Risk,1474.0
ATM_0010,55427.0,42754,63742.0,20988.0,Medium Risk,1210.0
ATM_0034,92175.0,32940,106002.0,73062.0,High Risk,84.0
ATM_0006,50235.0,69493,57770.0,0.0,Low Risk,3952.5
ATM_0018,34259.0,93406,39398.0,0.0,Low Risk,3952.5
ATM_0014,53780.0,35627,61847.0,26220.0,Medium Risk,995.0
ATM_0008,59597.0,34804,68537.0,33733.0,Medium Risk,757.0
ATM_0036,26394.0,117694,30353.0,0.0,Low Risk,3952.5
ATM_0017,26180.0,104378,30106.0,0.0,Low Risk,3952.5
ATM_0014,24833.0,74334,28558.0,0.0,Low Risk,3952.5
ATM_0010,60303.0,102942,78394.0,0.0,Low Risk,3952.5
ATM_0010,46822.0,62088,53845.0,0.0,Low Risk,3952.5
ATM_0036,41942.0,82196,48233.0,0.0,Low Risk,3952.5
ATM_0042,12543.0,114727,14424.0,0.0,Low Risk,3952.5
ATM_0009,45995.0,75481,59793.0,0.0,Low Risk,3952.5
ATM_0003,40353.0,93571,46406.0,0.0,Low Risk,3952.5
ATM_0046,34092.0,61193,39206.0,0.0,Low Risk,3952.5
ATM_0040,27915.0,51596,32103.0,0.0,Low Risk,3952.5
ATM_0002,65879.0,38422,85643.0,47221.0,Medium Risk,412.0
ATM_0045,60191.0,42728,69220.0,26492.0,Medium Risk,986.0
ATM_0010,70195.0,37077,80724.0,43647.0,Medium Risk,485.0
ATM_0026,47386.0,64224,54494.0,0.0,Low Risk,3952.5
ATM_0015,40051.0,43464,46059.0,2595.0,Low Risk,2090.0
ATM_0036,6477.0,86121,7448.0,0.0,Low Risk,3952.5
ATM_0028,45446.0,56195,59080.0,2885.0,Low Risk,2079.0
ATM_0003,50951.0,33285,58594.0,25309.0,Medium Risk,1024.0
ATM_0044,64783.0,82310,84217.0,1907.0,Low Risk,2134.0
ATM_0014,50555.0,74774,65722.0,0.0,Low Risk,3952.5
ATM_0037,14548.0,123208,16730.0,0.0,Low Risk,3952.5
ATM_0047,42045.0,62123,48352.0,0.0,Low Risk,3952.5
ATM_0022,63477.0,42702,72999.0,30297.0,Medium Risk,853.0
ATM_0032,62959.0,51669,81847.0,30178.0,Medium Risk,854.0
ATM_0044,60822.0,5101,69946.0,64845.0,High Risk,159.0
ATM_0046,36195.0,99071,41624.0,0.0,Low Risk,3952.5
ATM_0025,63063.0,8614,72523.0,63909.0,High Risk,170.0
ATM_0024,75647.0,29020,86994.0,57974.0,High Risk,244.0
ATM_0036,53808.0,52506,61879.0,9373.0,Low Risk,1772.0
ATM_0006,33732.0,60404,38791.0,0.0,Low Risk,3952.5
ATM_0050,37341.0,61692,42942.0,0.0,Low Risk,3952.5
ATM_0009,49504.0,45291,56929.0,11638.0,Low Risk,1656.0
ATM_0028,38174.0,64207,43900.0,0.0,Low Risk,3952.5
ATM_0017,48911.0,46661,56248.0,9587.0,Low Risk,1762.0
