ATM_ID,Date,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Year,Month,Day,Quarter,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Location_Type_Gas Station,Location_Type_Mall,Location_Type_Standalone,Location_Type_Supermarket,Weather_Condition_Cloudy,Weather_Condition_Rainy,Weather_Condition_Snowy,Predicted_Demand,Safety_Buffer_Percentage,Current_Cash_Level,Cash_Shortage,Safety_Buffer_Amount,Required_Cash,Recommended_Refill,Risk_Level,Priority_Rank
ATM_0035,2023-12-08,86948,9038,0,0,106030,3,67866,2023,12,8,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,80795.0,0.15,28120,0,12119.0,92914.0,64794.0,High Risk,160.0
ATM_0034,2023-04-08,67142,13759,0,0,115820,0,52361,2023,4,8,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,56934.0,0.15,62437,0,8540.0,65474.0,3037.0,Low Risk,2072.0
ATM_0038,2023-07-22,36359,12934,0,0,143809,5,18531,2023,7,22,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,25761.0,0.15,120384,0,3864.0,29625.0,0.0,Low Risk,3952.5
ATM_0041,2022-03-02,35141,7168,0,1,101993,0,40993,2022,3,2,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,37894.0,0.3,74020,0,11368.0,49262.0,0.0,Low Risk,3952.5
ATM_0033,2022-09-01,42447,2246,0,0,101371,5,43593,2022,9,1,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,40550.0,0.15,61170,0,6082.0,46632.0,0.0,Low Risk,3952.5
ATM_0037,2023-08-14,36208,17749,0,0,84334,1,25698,2023,8,14,3,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,23235.0,0.15,65875,0,3485.0,26720.0,0.0,Low Risk,3952.5
ATM_0007,2022-04-10,45169,14067,0,0,75382,5,39961,2022,4,10,2,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,35080.0,0.15,44280,0,5262.0,40342.0,0.0,Low Risk,3952.5
ATM_0004,2023-11-21,25887,10923,0,0,105197,0,16851,2023,11,21,4,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,17622.0,0.15,90233,0,2643.0,20265.0,0.0,Low Risk,3952.5
ATM_0016,2022-07-16,61727,12609,0,0,105939,1,60063,2022,7,16,3,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,52512.0,0.15,56821,0,7877.0,60389.0,3568.0,Low Risk,2049.0
ATM_0018,2023-04-19,39799,11161,0,0,105861,0,25441,2023,4,19,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,31531.0,0.15,77223,0,4730.0,36260.0,0.0,Low Risk,3952.5
ATM_0042,2023-07-08,39284,19328,0,1,109476,1,36840,2023,7,8,3,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,32545.0,0.3,89520,0,9764.0,42309.0,0.0,Low Risk,3952.5
ATM_0027,2023-05-13,35379,13935,0,0,123171,1,24612,2023,5,13,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,24582.0,0.15,101727,0,3687.0,28269.0,0.0,Low Risk,3952.5
ATM_0025,2022-01-03,37689,14110,0,1,137935,2,28914,2022,1,3,1,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,34750.0,0.3,114356,0,10425.0,45175.0,0.0,Low Risk,3952.5
ATM_0028,2023-12-15,36657,5920,0,0,98457,0,37577,2023,12,15,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,32446.0,0.15,67720,0,4867.0,37313.0,0.0,Low Risk,3952.5
ATM_0038,2023-07-10,55117,10065,0,0,129070,4,49301,2023,7,10,3,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,47495.0,0.15,84018,0,7124.0,54619.0,0.0,Low Risk,3952.5
ATM_0034,2022-06-11,59385,5714,0,0,78582,0,64265,2022,6,11,2,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,55123.0,0.15,24911,0,8268.0,63391.0,38480.0,Medium Risk,600.0
ATM_0039,2022-03-11,57237,8882,0,0,114280,4,37579,2022,3,11,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,50468.0,0.15,65925,0,7570.0,58038.0,0.0,Low Risk,3952.5
ATM_0039,2022-02-10,57098,9635,0,0,83064,2,58773,2022,2,10,1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,49416.0,0.15,35601,0,7412.0,56828.0,21227.0,Medium Risk,1200.0
ATM_0014,2023-11-17,27277,11070,0,0,75085,5,22648,2023,11,17,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,19064.0,0.15,58878,0,2860.0,21924.0,0.0,Low Risk,3952.5
ATM_0042,2022-11-04,36742,10768,0,1,101164,0,39915,2022,11,4,4,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,36105.0,0.3,75190,0,10831.0,46936.0,0.0,Low Risk,3952.5
ATM_0030,2023-09-29,32855,15415,0,0,121076,1,21038,2023,9,29,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,21415.0,0.15,103636,0,3212.0,24627.0,0.0,Low Risk,3952.5
ATM_0023,2022-03-12,57725,12568,0,0,110300,4,54244,2022,3,12,1,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,48628.0,0.15,65143,0,7294.0,55923.0,0.0,Low Risk,3952.5
ATM_0046,2022-11-06,107790,14770,0,0,113027,1,114724,2022,11,6,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,96681.0,0.15,20007,0,14502.0,111183.0,91176.0,High Risk,13.0
ATM_0017,2022-04-29,38407,8815,0,0,90292,4,31079,2022,4,29,2,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,31219.0,0.15,60700,0,4683.0,35902.0,0.0,Low Risk,3952.5
ATM_0014,2022-12-18,51228,13431,0,0,67745,0,34641,2022,12,18,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,41856.0,0.15,29948,0,6278.0,48134.0,18186.0,Low Risk,1314.0
ATM_0006,2023-10-12,42921,15444,0,0,101285,1,38167,2023,10,12,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,31422.0,0.15,73808,0,4713.0,36135.0,0.0,Low Risk,3952.5
ATM_0041,2022-09-26,33833,6348,0,0,104329,4,22905,2022,9,26,3,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,28822.0,0.15,76844,0,4323.0,33145.0,0.0,Low Risk,3952.5
ATM_0001,2022-04-25,82159,13169,0,0,59497,4,83492,2022,4,25,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,72371.0,0.15,0,9493,10856.0,83227.0,83227.0,High Risk,30.0
ATM_0036,2022-06-01,52796,6037,0,0,97705,0,36847,2022,6,1,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,48703.0,0.15,50946,0,7305.0,56008.0,5062.0,Low Risk,1971.0
ATM_0023,2022-08-04,57574,14328,0,0,75994,4,40705,2022,8,4,3,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,47553.0,0.15,32748,0,7133.0,54685.0,21937.0,Medium Risk,1177.0
ATM_0048,2022-06-08,44982,18827,0,1,108099,3,42815,2022,6,8,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,38256.0,0.3,81944,0,11477.0,49733.0,0.0,Low Risk,3952.5
ATM_0002,2022-07-03,81832,15162,0,0,69612,2,63791,2022,7,3,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,71168.0,0.15,2942,0,10675.0,81843.0,78901.0,High Risk,53.0
ATM_0011,2023-12-20,42736,12219,0,0,115492,1,35587,2023,12,20,4,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,33081.0,0.15,84975,0,4962.0,38043.0,0.0,Low Risk,3952.5
ATM_0013,2023-04-17,1380,4878,0,0,94948,1,0,2023,4,17,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,-2190.0,0.15,98446,0,-328.0,-2518.0,0.0,Low Risk,3952.5
ATM_0002,2023-11-07,31283,7799,0,0,102614,2,23373,2023,11,7,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,24596.0,0.15,79130,0,3689.0,28286.0,0.0,Low Risk,3952.5
ATM_0023,2023-10-19,67447,10051,0,0,80369,0,47607,2023,10,19,4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,59505.0,0.15,22973,0,8926.0,68431.0,45458.0,Medium Risk,454.0
ATM_0017,2022-07-02,56931,10349,0,0,92293,2,58803,2022,7,2,3,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,50379.0,0.15,45711,0,7557.0,57936.0,12225.0,Low Risk,1625.0
ATM_0047,2022-11-18,73790,3810,0,1,142660,3,91179,2022,11,18,4,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,77879.0,0.3,72680,0,23364.0,101243.0,28563.0,Medium Risk,917.0
ATM_0037,2022-07-14,20718,11404,0,0,87546,4,9643,2022,7,14,3,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,12087.0,0.15,78232,0,1813.0,13901.0,0.0,Low Risk,3952.5
ATM_0035,2023-12-05,41159,14248,0,0,107140,4,29906,2023,12,5,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,30397.0,0.15,80229,0,4560.0,34957.0,0.0,Low Risk,3952.5
ATM_0021,2023-11-11,39606,14064,0,0,112592,2,27873,2023,11,11,4,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,29059.0,0.15,87050,0,4359.0,33418.0,0.0,Low Risk,3952.5
ATM_0026,2023-12-15,61209,13051,0,0,99581,5,46483,2023,12,15,4,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,51631.0,0.15,51423,0,7745.0,59376.0,7953.0,Low Risk,1842.0
ATM_0025,2023-11-25,51759,12735,0,0,95956,4,50080,2023,11,25,4,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,42157.0,0.15,56932,0,6324.0,48481.0,0.0,Low Risk,3952.5
ATM_0001,2022-11-08,62381,14067,0,0,126109,3,44558,2022,11,8,4,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,51900.0,0.15,77795,0,7785.0,59686.0,0.0,Low Risk,3952.5
ATM_0029,2023-03-29,50315,11620,0,0,97397,5,50242,2023,3,29,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,41145.0,0.15,58702,0,6172.0,47316.0,0.0,Low Risk,3952.5
ATM_0006,2022-10-18,37726,20461,0,0,79879,5,22401,2022,10,18,4,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,22722.0,0.15,62614,0,3408.0,26130.0,0.0,Low Risk,3952.5
ATM_0020,2022-08-19,31787,13120,0,0,112566,3,16785,2022,8,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,21874.0,0.15,93899,0,3281.0,25156.0,0.0,Low Risk,3952.5
ATM_0040,2022-03-16,51137,6614,0,0,119502,5,44393,2022,3,16,1,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,45786.0,0.15,74979,0,6868.0,52654.0,0.0,Low Risk,3952.5
ATM_0045,2023-01-29,47794,12064,0,0,88725,0,43412,2023,1,29,1,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,38317.0,0.15,52995,0,5747.0,44064.0,0.0,Low Risk,3952.5
ATM_0050,2023-03-12,53674,7465,0,0,90579,0,37345,2023,3,12,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,48599.0,0.15,44370,0,7290.0,55889.0,11519.0,Low Risk,1660.0
ATM_0036,2022-09-13,53480,2759,0,0,71850,5,57485,2022,9,13,3,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,50822.0,0.15,21129,0,7623.0,58446.0,37317.0,Medium Risk,625.0
ATM_0034,2023-07-27,39223,8932,0,0,106218,4,29520,2023,7,27,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,32040.0,0.15,75927,0,4806.0,36846.0,0.0,Low Risk,3952.5
ATM_0029,2022-06-12,72130,9904,0,0,79949,5,50758,2022,6,12,2,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,64919.0,0.15,17723,0,9738.0,74656.0,56933.0,High Risk,264.0
ATM_0018,2023-06-18,54840,5863,0,0,110386,5,60947,2023,6,18,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,50117.0,0.15,61409,0,7518.0,57634.0,0.0,Low Risk,3952.5
ATM_0019,2022-08-29,72991,13450,0,0,91975,1,51718,2022,8,29,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,63051.0,0.15,32434,0,9458.0,72508.0,40074.0,Medium Risk,567.0
ATM_0010,2022-08-25,53361,10062,0,0,101953,3,55715,2022,8,25,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,45182.0,0.15,58654,0,6777.0,51959.0,0.0,Low Risk,3952.5
ATM_0027,2022-12-05,38404,17255,0,0,119185,3,23663,2022,12,5,4,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,25543.0,0.15,98036,0,3831.0,29374.0,0.0,Low Risk,3952.5
ATM_0050,2023-08-22,63084,10916,0,0,143796,2,50981,2023,8,22,3,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,53651.0,0.15,91628,0,8048.0,61699.0,0.0,Low Risk,3952.5
ATM_0020,2023-02-04,37875,0,0,0,89484,3,39142,2023,2,4,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,37898.0,0.15,51609,0,5685.0,43582.0,0.0,Low Risk,3952.5
ATM_0015,2022-10-07,55126,19380,0,0,119008,5,47933,2022,10,7,4,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,40571.0,0.15,83262,0,6086.0,46657.0,0.0,Low Risk,3952.5
ATM_0044,2023-02-19,41346,3398,0,1,136629,3,52332,2023,2,19,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,45435.0,0.3,98681,0,13630.0,59065.0,0.0,Low Risk,3952.5
ATM_0038,2023-08-01,67691,7654,0,0,65737,3,73364,2023,8,1,3,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,62346.0,0.15,5700,0,9352.0,71698.0,65998.0,High Risk,146.0
ATM_0012,2022-02-21,70308,9427,0,0,124756,2,61910,2022,2,21,1,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,63402.0,0.15,63875,0,9510.0,72912.0,9037.0,Low Risk,1782.0
ATM_0022,2023-01-24,50078,10234,1,0,90998,3,48309,2023,1,24,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,47021.0,0.25,51154,0,11755.0,58776.0,7622.0,Low Risk,1852.0
ATM_0002,2023-07-07,59342,10601,0,0,110288,5,44039,2023,7,7,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,50893.0,0.15,61547,0,7634.0,58527.0,0.0,Low Risk,3952.5
ATM_0003,2022-02-01,26988,16388,0,0,106646,1,12684,2022,2,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14526.0,0.15,96046,0,2179.0,16705.0,0.0,Low Risk,3952.5
ATM_0009,2023-04-30,38772,15896,0,1,101350,5,34170,2023,4,30,2,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,33631.0,0.3,78474,0,10089.0,43720.0,0.0,Low Risk,3952.5
ATM_0017,2023-01-13,46265,14857,0,0,112907,1,41031,2023,1,13,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,34674.0,0.15,81499,0,5201.0,39875.0,0.0,Low Risk,3952.5
ATM_0020,2022-04-21,70529,15292,0,0,64825,3,56498,2022,4,21,2,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,58969.0,0.15,9588,0,8845.0,67814.0,58226.0,High Risk,240.0
ATM_0046,2022-07-23,45958,13587,0,0,130047,0,33036,2022,7,23,3,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,35347.0,0.15,97676,0,5302.0,40649.0,0.0,Low Risk,3952.5
ATM_0045,2022-11-05,51111,1483,0,0,98889,4,48807,2022,11,5,4,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,49833.0,0.15,49261,0,7475.0,57308.0,8047.0,Low Risk,1835.0
ATM_0028,2023-11-09,18988,9554,0,0,73910,0,10373,2023,11,9,4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,12496.0,0.15,64476,0,1874.0,14370.0,0.0,Low Risk,3952.5
ATM_0027,2023-05-17,60045,11832,0,1,81202,5,51443,2023,5,17,2,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,58066.0,0.3,32989,0,17420.0,75486.0,42497.0,Medium Risk,515.0
ATM_0010,2023-03-22,49059,14775,0,1,80285,4,42331,2023,3,22,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,45123.0,0.3,46001,0,13537.0,58660.0,12659.0,Low Risk,1605.5
ATM_0035,2023-05-11,57560,7348,0,0,84142,2,46123,2023,5,11,2,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,51906.0,0.15,33930,0,7786.0,59692.0,25762.0,Medium Risk,1010.5
ATM_0016,2022-03-30,48394,4823,0,0,88927,4,44383,2022,3,30,1,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,44582.0,0.15,45356,0,6687.0,51270.0,5914.0,Low Risk,1930.0
ATM_0040,2023-11-16,32031,6501,0,0,104279,1,30573,2023,11,16,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,27106.0,0.15,78749,0,4066.0,31172.0,0.0,Low Risk,3952.5
ATM_0032,2022-08-06,48315,8895,0,0,112283,4,36839,2022,8,6,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,42093.0,0.15,72863,0,6314.0,48407.0,0.0,Low Risk,3952.5
ATM_0001,2023-06-14,61362,8624,0,0,53961,3,58361,2023,6,14,2,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,55786.0,0.15,1223,0,8368.0,64154.0,62931.0,High Risk,185.0
ATM_0036,2022-09-04,74674,8754,0,0,111531,0,68316,2022,9,4,3,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,68189.0,0.15,45611,0,10228.0,78418.0,32807.0,Medium Risk,788.0
ATM_0019,2022-08-15,54668,9360,0,0,80889,3,49566,2022,8,15,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,48004.0,0.15,35581,0,7201.0,55205.0,19624.0,Low Risk,1257.0
ATM_0036,2023-06-28,38654,2888,0,1,87068,2,37044,2023,6,28,2,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,43647.0,0.3,51302,0,13094.0,56741.0,5439.0,Low Risk,1949.0
ATM_0045,2023-04-10,33776,18435,0,0,117632,5,23870,2023,4,10,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,19673.0,0.15,102291,0,2951.0,22624.0,0.0,Low Risk,3952.5
ATM_0013,2022-11-20,51160,5693,0,1,130462,1,53551,2022,11,20,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,53958.0,0.3,84995,0,16187.0,70146.0,0.0,Low Risk,3952.5
ATM_0014,2023-05-11,58083,5621,0,1,72344,0,64058,2023,5,11,2,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,61405.0,0.3,19882,0,18421.0,79826.0,59944.0,High Risk,222.0
ATM_0013,2022-10-31,29021,12814,0,0,86987,5,17148,2022,10,31,4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,18916.0,0.15,70780,0,2837.0,21753.0,0.0,Low Risk,3952.5
ATM_0035,2022-05-10,42693,10242,0,1,83380,5,38011,2022,5,10,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,42829.0,0.3,50929,0,12849.0,55678.0,4749.0,Low Risk,1992.0
ATM_0009,2023-10-16,46415,5462,0,0,88464,3,35747,2023,10,16,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,43080.0,0.15,47511,0,6462.0,49542.0,2031.0,Low Risk,2125.0
ATM_0031,2023-03-28,61330,10496,0,1,115027,3,63369,2023,3,28,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,60573.0,0.3,64193,0,18172.0,78745.0,14552.0,Low Risk,1506.0
ATM_0008,2022-03-08,40060,12852,0,0,84734,1,32198,2022,3,8,1,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,29761.0,0.15,57526,0,4464.0,34225.0,0.0,Low Risk,3952.5
ATM_0010,2023-07-31,22926,11298,0,1,81913,4,19055,2023,7,31,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,21844.0,0.3,70285,0,6553.0,28397.0,0.0,Low Risk,3952.5
ATM_0049,2023-03-03,49008,3944,0,0,86963,2,43567,2023,3,3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,46307.0,0.15,41899,0,6946.0,53253.0,11354.0,Low Risk,1672.0
